,label,content
0,-1,[긴급필독/도요새의 비밀] 637.56-750-680.16-((863))-793.16-906.16/905.56  905.56-785.56-((859.72))-739.72[코스닥 제3-2파동]        
1,-1,민주노총 파급 코로나사태 3차재확산 정부곳간 돈도 없는데  또 세금 죄이기?  3차원인에대해 언론침묵 민주노총발뺌/민노총봐주기로 역학조사길찾기 방향잃어
2,-1,조작과 왜곡으로부터 인류를 지켜야합니다! 공산당을 멸족시키는것은  거룩하고 성스러운 일 입니다!
3,-1,공산당을 멸족시키는것 외에는 답이없다! 공산당을 멸족시키는것은  거룩하고 성스러운 일 입니다!
4,-1,"중앙은행이 돈찍어서, 주식,채권사는시대다.  1. 정신병자들아..     니가 미쳤니, 내가 미쳤니?    2. 그렇다면... 당연히.. 이 마피아들이 생각해둔 시나리오라는 것이 있는 것이다.      이들이 무한정 통화를 남발하기 위해서는...      금리가 최대한 낮게 유지되어야 한다.       그래서.. 승부사.. 10년간 인플레이션 불가하다는 까닭이다.      왜??      최후의 승자는 바로 이들이기 때문이다.     3. 그렇다면.. 이를 극단으로 밀고가면 결론이 무엇인가?       그렇다... 제 2차 세계 대공황이 오는 것이다.       이것이 승부사가 말하는 자본주의 리셋 프로그램이다.       너무 열심히 살 필요없다."
5,-1,[삭제된 게시물의 답글]진짜 궁금. 왜 위안부는 전부 쌍도야?!! 위안부는 청량리... 세상이 바뀌어도 양반 상것은 있다 추가성을 가진 것이 장관이라 웃긴다
6,-1,"배후의 큰손으로 조지 소로스 구체적 지목 미국 부정선거의 배후 인물들의 이름이  구체적인 증거들(물증 확보)과 함께 구체적으로 거론되는 상황까지 왔습니다  조지 소로스는 거대한 부를 무기로 세계단일정부를 꿈꾸는 정치적인 괴물입니다   그는 유대인임에도 불구하고 나치 독일에서 유대인을 신고하는데 일조를 했고   훗날 양심의 가책을 느끼지 않느냐는 질문에    내가 아니어도 누군가는 해야할 일이었다고 말해서 경악을 금치못하게 한 인물입니다  소로스는 세계를 휘젓고 다니며   어려움에 처한 기업들을 쓸어담아 부를 축적한 헤지펀드 악마입니다  그는 무신론자이며 인간을 개 돼지로 보며   자기들처럼 상위, 상류 1프로의 소수가 세상을 통치해야한다고 합니다  소로스를 비롯한 글로벌리스트 딥스테이트들은  인류의 수를 현재의 60억에서 20억 수준으로 줄여 세계를 단일 정부로 만들어  빅테크 AI를 통하여 세상을 통치하는 걸 목표로 하고 있습니다  이번 미국의 대선은 자유민주주의를 지켜내느냐  공산주의 사회주의가 고도로 변형한 세계단일정부의 독재체재를 꿈꾸는 자들과의 싸움이고  이들은 가장 큰 장애물로 트럼프로 보고 트럼프 제거에 혈안이 되어 왔다고 볼수 있습니다  트럼프는 좌파성향화된 주류의 기득권 카르텔을 깨트리고 딥스테이들의 음모를 분쇄하고  정직하고 열심히 살아가는 평범한 보통사람들이 자유를 만끽하며 안심하고 살아가는 나라  또한 과거의 가장 미국다웠던 미국을 꿈꾸며 자유민주의의 가치를 존중하고 수호하고  나아가 발전시키고 세계에 확산시키려는 꿈을 갖고 있는 인물로 보입니다  딥스테이들은 트럼프가 당선하여 취임하자마자 낙마시키기위하여 탄핵을 추진했지만  최근에 사기탄핵이였음이 미국 청문회장에서 드러났고  돈으로 미국뿐만 아니라 각국의 유력자들과 언론, 좌파성향 시민단체들을 매수하여   끊임없이 트럼프를 이상한 미치광이 쯤으로 매도하며 공격해왔습니다  트럼프가 부정선거를 밝혀내고 이겨야하는 이유가 바로 여기에 있습니다  이번 미국 대선은 단순히 미국만의 문제가 아니고   우리 아이들의 마래에 관련된 3차 세계대전에 준하는 세계사적인 거대 이슈입니다"
7,-1,좌파정권 잘 들여다 봐라 이넘들은 대깨문들에게 주둥이로 세뇌시키지만  지놈들은 속으로 알고있다  정권잡았을때 모든 분야에 한탕씩 제대로 하자로  보인다.    거기다 부정으로 180석을 먹었으니 대놓고 빨아  먹어도 뻔뻔하게 넘어가면 된다는 식으로 하고있음.  오렌세월 야당으로 징징거리며 선동질해서   찔끔 찔끔 받아먹은거 제대로 정권잡았을때  욕받이는 아주머니들 장관으로 앉혀놓고   실질적인 종북이들은 엄청나게 해먹고 있을꺼다  눈에 훤하다  아마 모든분야에서 다 먹었을껄  이렇게 게판인 정부를 본적이 있냐??  꼭 도망가기 전에 급하게 다 터는 그런 느낌이다.  열받는게 못땐짓은 다하고 국민들에게 직접적인  피해는 다 주고 뻔뻔하게 주둥이를 나불거리니  고약하기 말로 표현을 못하겠다
8,-1,홍5 ㅈ들은 구제불능 ㅉ도 없는 세리들 ㅎㅎ 홍5 ㅈ들.  무식한 빨개이 빡가사리들  부칸 니네 나라로 꺼지라  푸하하하  
9,1,[삭제된 게시물의 답글]백원짜리  동전하나  못쓴다    삼전이내려가야 주식창이 돌아간다 또한 삼전은 45000원주식으로 주식거래가 되어야  다들 삼전으로 간다 근데 삼전은 넘많은것 뺏아서 간다 이제 삼전 주식 20억 매도 해야겠다  삼전 조금씩 확 빠져줘라ㅡㅡㅡ부탁한다 아니며 계속 십억씩 매도 ㅡㅡ
10,-1,악마의 맷돌이 굴러간다.  1. 너네들은 50프로 이상 노예로 전락한다.      명심해라..      이 맷돌은 ........ 어이가 없어도 굴러간다.    2.  폴라니의 책을 보아야겠다.       막스를 능가하는 현인이다.
11,-1,키움..모바일 쓰시는분 있나요?? 호가창 맨위 바왼쪽으로  이동하면 종목뷰로 들어가서 검색 여하튼 위에서검색
12,-1,키움..모바일 쓰시는분 있나요?? 키움 모바일에서 각종목 신용비율 보는법좀 알려주새요..
13,-1,●● 삼성전자 내일부터 급락합니다. 내일부터 61500 정도까지 하락가능성 높습니다.  그 다음주는 상승.  https://open.kakao.com/o/gqdMpREc  여기 오셔서 확인하세요   
14,-1,어느 증권사가사 믿을만 한가요? 지점장이 장난 치는것 같은데 ?
15,-1,이건희 78세 사망.. 요즘은 젊은 나이인데  이재용도 유전일듯. 80세 못넘김  이재용 2세들은 삼성 주주가 아님 목표가 3만.
16,-1,경축 이낙빵ㆍ이해골  코르나 걸려 즉사 축하드립니다  푸하하하 
17,1,서울집값 지방집값 비슷해졌다 내년에 서울 폭등할거 같다.   한껏 오른 지방 아파트 처분한 자금들이   임대차3법으로 폭등한 전세가 덕분에  대출없이 갭투자가 가능해졌다  
18,1,국민의 짐이 국민의 힘이 되는 방법~ 사적자치를 존중하며 빈부 격차를 줄여 보거라~  노동 유연성을 확보 하며 비.정규직 노동자의 삶의 질을 향상 시켜 보거라~  준법의 원칙을 존중하며 법기술 사용자에 대한 가중 처벌의 기준과 실천을 만들어 보거라~  공정을 존중하며 기득권을 내려 놓거라~  이중에 고작 두 가지만 성공하면 다음 대권을 가져 간다~  그거 못하면 하는 척이라도 하며 조금이나마 신경쓰는  넘들이 계속 집권한다~  
19,-1,손정의대표는 현재 주식팔아 현금 챙기고 있다 2 - 3 개월 안에 큰일 난다고 하셨다 
20,-1,손정의는 빌게이츠 최측근 수하임.  또 무슨 일을 꾸밀라고?
21,-1,경축 이낙빵 이낙향 이낙지 홍5  코르나 걸려  해롱 해롱 아마. 즉사 가능 99% 축하드립니다  푸하하하 
22,-1,나 진짜 궁금한게 있는데. 여기 삼성전자 종토방 아님? 정치병 환자들이 대부분이네... 
23,-1,친문대끼문 50 마리 뭉쳐 죄인이 ㄸ 쳐묵고  찬양 찬배  ㅆ 라기들 죄인이 ㄸ ㄱ머. 만만세  푸하하하 
24,-1,옜날에는   쥐박이의 아구창을 그렇게   날리고 싶었는데   요새는   왜 김현미의 아구창을 이렇게  날리고 싶은지    
25,-1,형들 다음주 상승이야?아님 하락이야? 진심 궁금해서그래...........
26,-1,거리두기격상 먼저 튀는사람이 살아남는다 연말까진 촉수엄금이네
27,-1,기초 수급자 90% 홍5 ㅈ들. 세금 빼 먹는 기생충들 즉시 부칸 으로 이주 시키자  푸하하하 
28,-1,대깨문 대가리 깨진 문재앙 추종파 이제 골도 아짝내고 주둥이도 꾸매고 찌지자
29,-1,"김동연 ""경제혁신 위해선 정치부터 바꿔야…진영 금기 깨야"" (세종=연합뉴스) 차지연 기자 = 김동연 전 부총리 겸 기획재정부 장관(유쾌한반란 이사장)은 22일 저성장과 양극화 등 한국 사회와 경제의 고질적인 문제를 해결하기 위해 '승자독식구조'를 깨야 한다고 강조했다.  대통령 선거와 서울시장 선거 후보군으로도 거론되는 김 전 부총리는 ""경제 혁신을 위해서는 정치부터 바꿔야 한다""며 한국 정치의 문제점을 지적하기도 했다.  김 전 부총리는 이날 KBS '명견만리Q100'에 출연해 '한국 경제의 킹핀을 찾아라'라는 주제로 승자독식구조와 공감혁명, 혁신 등에 대해 강연했다.  그는 ""대한민국은 지금껏 해온 정부 주도의 성장, 국가 개입주의가 더는 작동하지 않아 성장이 정체되기 시작했다""며 ""양극화 현상이 우리 사회의 지속가능성을 위협하는 수준까지 도달했고, 치열한 경쟁과 극단의 이기주의로 불신과 갈등이 심화하고 있다""고 분석했다.  그러면서 ""문제를 해결할 정치권은 '내 편'과 '네 편'을 나눠 타협의 여지 없이 싸우고 있다""며 부총리 시절 국회 예산결산특별위원회에서 ""우리 경제가 위기라는 말에는 동의하지 않지만 경제에 관한 정치적 의사 결정의 위기인지도 모르겠다""고 한 발언을 다시 언급했다.  김 전 부총리는 ""우리 사회의 '킹핀(볼링에서 1번 핀과 3번 핀 뒤에 숨어있는 5번 핀)'은 승자독식구조""라며 ""승자독식 전쟁을 끝내고 사회의 작동 원리를 바꿔야 한다""고 강조했다.  그는 이 과정에서 고(故) 노무현 전 대통령이 책에 쓴 '부모와 아이들이 감당할 수 있는 경쟁, 패자에게도 가혹하지 않은 사회, 승자와 패자가 더불어 사는 사회'라는 문구를 인용하기도 했다.  김 전 부총리는 승자독식구조 타파를 위해 경쟁과 효율 위에 공존과 협력의 가치를 더하고 제도와 의식을 개혁하는 '공감혁명'을 제안했다.  그는 ""공감혁명이 지향하는 혁신을 위해 지대개혁으로 규제와 부동산 투기, 철밥통 등 노력이나 기여보다 훨씬 큰 초과이익이 나오는 부분을 없애야 한다""며 ""'진짜 실력사회'를 구축하고 안정성과 유연성을 함께 올리는 노동시장 개혁이 필요하다. 또 실패해도 살아남을 수 있는 혁신 안전망이 중요하다""고 말했다.  이어 ""권력 독과점도 해소해야 한다""며 ""경제 혁신을 위해선 역설적으로 정치부터 바뀌어야 한다. 많은 개혁법안과 정책, 제도 변경이 국회에서 막혀 제대로 추진되지 않을 때가 많다""고 덧붙였다.  김 전 부총리는 ""가죽을 벗겨내는 고통이 따르는 혁신에 성공하기 위해선 사업주, 노동조합, 진보, 보수 등이 자기 진영의 금기를 깨야 한다""며 ""보수가 사회안전망 대폭 확대에 찬성하고 진보가 어느 정도의 안정성을 전제로 노동 유연성을 찬성하면 변화가 가능할 것""이라고 말했다.  또 ""이제는 새로운 시도, 시민이 의사결정에 참여하는 '아래로부터의 반란'이 필요하다""며 ""판을 바꿔 온 국민이 혁신 주체가 돼야 한다""고 강조했다. "
30,-1,대깨문 꼴통들 바위로 내려치고 오아마로 내려쳐 ㅍ 질질  바람  슝슝  만들자 푸하하하 
31,-1,치료제는 안 나온다고 보면 됩니다  파우치박사인지 CDC의 무슨필드박사인지가 실버불릿은 없다라고 할 때에 코로나 원리상 그래서 그런 겁니다. 감기(감기도 감기코로나 4종이 감기원인의 30~40%차지)처럼 대증요법으로 가는 걸로 보면 되고 각 기저질환별로의 대증요법이 점점 정교해지고 있습니다. 요즘 약파는 사람들 많은데 낚이지 마십쇼. 
32,-1,삼성 망하면 죄인이 때문이다 ㅋㅋㅋㅋㅋㅋㅋ 
33,1,내일부터. . . 코로나 확산과 트럼프만 악재반영시작....생각보다 큰조정 올것같음...
34,-1,한말만 먹고 이번앤 진짜 끊는다
35,1,BTS 병역 연기 특혜 소급 입법 여부? 노웅래는 답해야 한다~ 소급 입법을 통한 특헤를 말 하고자 하는 것인지~  입영 대상자 부터 적용하는지~  던저놓고 간을 보는 정치적 말장난 이더냐?  정치적 철학이나 소신이더냐?  .BTS 인기에 법기술 수작 질  하겠다는 이바구로 정치적 숟가락질 하려 했던 것이 아니라 말 할 수 있냐?  입영 대상자 부터 적용하는게 아니면 먼저 끌려 간 넘들만 불쌍한거 아니냐?    
36,1,문재인 개그맨 아니다 어린애가 아니고 고귀한 분이다 빠들아 존경해라  부동산 폭등 잘한 것이고 팩트다
37,-1,공수처 독재시대 온다 지들끼리 만든 법 날치기하더니  그걸 또 지들끼리 고쳐서 또 날치기 준비중  지은 죄가 많아서 숙청 도구가 필요하겠지
38,1,"코로나 전성시대 집단적으로  마스크  끼고  1년을 보내버리네  난  좋다, 공기가 더러워서  어차피  껴야 되는데  계속 이렇게  살았음 좋겠어  어차피  공기는 계속 나쁠 거잖아  아무런  대책이  없는 거,  다 안다"
