,label,content
0,-1,[긴급필독/도요새의 비밀] 637.56-750-680.16-((863))-793.16-906.16/905.56  905.56-785.56-((859.72))-739.72[코스닥 제3-2파동]        
1,-1,조작과 왜곡으로부터 인류를 지켜야합니다! 공산당을 멸족시키는것은  거룩하고 성스러운 일 입니다!
2,-1,공산당을 멸족시키는것 외에는 답이없다! 공산당을 멸족시키는것은  거룩하고 성스러운 일 입니다!
3,-1,"중앙은행이 돈찍어서, 주식,채권사는시대다.  1. 정신병자들아..     니가 미쳤니, 내가 미쳤니?    2. 그렇다면... 당연히.. 이 마피아들이 생각해둔 시나리오라는 것이 있는 것이다.      이들이 무한정 통화를 남발하기 위해서는...      금리가 최대한 낮게 유지되어야 한다.       그래서.. 승부사.. 10년간 인플레이션 불가하다는 까닭이다.      왜??      최후의 승자는 바로 이들이기 때문이다.     3. 그렇다면.. 이를 극단으로 밀고가면 결론이 무엇인가?       그렇다... 제 2차 세계 대공황이 오는 것이다.       이것이 승부사가 말하는 자본주의 리셋 프로그램이다.       너무 열심히 살 필요없다."
4,-1,[삭제된 게시물의 답글]진짜 궁금. 왜 위안부는 전부 쌍도야?!! 위안부는 청량리... 세상이 바뀌어도 양반 상것은 있다 추가성을 가진 것이 장관이라 웃긴다
5,1,[삭제된 게시물의 답글]백원짜리  동전하나  못쓴다    삼전이내려가야 주식창이 돌아간다 또한 삼전은 45000원주식으로 주식거래가 되어야  다들 삼전으로 간다 근데 삼전은 넘많은것 뺏아서 간다 이제 삼전 주식 20억 매도 해야겠다  삼전 조금씩 확 빠져줘라ㅡㅡㅡ부탁한다 아니며 계속 십억씩 매도 ㅡㅡ
6,-1,키움..모바일 쓰시는분 있나요?? 호가창 맨위 바왼쪽으로  이동하면 종목뷰로 들어가서 검색 여하튼 위에서검색
7,-1,키움..모바일 쓰시는분 있나요?? 키움 모바일에서 각종목 신용비율 보는법좀 알려주새요..
8,-1,●● 삼성전자 내일부터 급락합니다. 내일부터 61500 정도까지 하락가능성 높습니다.  그 다음주는 상승.  https://open.kakao.com/o/gqdMpREc  여기 오셔서 확인하세요   
9,-1,어느 증권사가사 믿을만 한가요? 지점장이 장난 치는것 같은데 ?
10,-1,이건희 78세 사망.. 요즘은 젊은 나이인데  이재용도 유전일듯. 80세 못넘김  이재용 2세들은 삼성 주주가 아님 목표가 3만.
11,-1,경축 이낙빵ㆍ이해골  코르나 걸려 즉사 축하드립니다  푸하하하 
12,1,서울집값 지방집값 비슷해졌다 내년에 서울 폭등할거 같다.   한껏 오른 지방 아파트 처분한 자금들이   임대차3법으로 폭등한 전세가 덕분에  대출없이 갭투자가 가능해졌다  
13,1,국민의 짐이 국민의 힘이 되는 방법~ 사적자치를 존중하며 빈부 격차를 줄여 보거라~  노동 유연성을 확보 하며 비.정규직 노동자의 삶의 질을 향상 시켜 보거라~  준법의 원칙을 존중하며 법기술 사용자에 대한 가중 처벌의 기준과 실천을 만들어 보거라~  공정을 존중하며 기득권을 내려 놓거라~  이중에 고작 두 가지만 성공하면 다음 대권을 가져 간다~  그거 못하면 하는 척이라도 하며 조금이나마 신경쓰는  넘들이 계속 집권한다~  
14,-1,손정의대표는 현재 주식팔아 현금 챙기고 있다 2 - 3 개월 안에 큰일 난다고 하셨다 
15,-1,손정의는 빌게이츠 최측근 수하임.  또 무슨 일을 꾸밀라고?
16,-1,경축 이낙빵 이낙향 이낙지 홍5  코르나 걸려  해롱 해롱 아마. 즉사 가능 99% 축하드립니다  푸하하하 
17,-1,나 진짜 궁금한게 있는데. 여기 삼성전자 종토방 아님? 정치병 환자들이 대부분이네... 
18,0,형들 다음주 상승이야?아님 하락이야? 진심 궁금해서그래...........
19,-1,거리두기격상 먼저 튀는사람이 살아남는다 연말까진 촉수엄금이네
